Unnamed: 0,LOS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Crewchange,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Ark,Crew Change,Unnamed: 1
Fakt.,Løpe-nummer,Dato,Order-Nr.,"TechLog
Nr.",Ship,Sign,KUN FRA LISTE              Sted/Type,,Landinger MONG                  STURE                    KÅRSTØ   ,LOS,KUN RIGG - Rotor Rønnings Tid (min),PAX,SHIP LANDING,Skriv 1 vis tåke/ bomtur. SHIP,Landinger ENFJ,HOIST,"Crew
Change",Total flight distance nm,Heli deck idle time,Total repositioning (to other airports) Flight time,Kommentar:,2017,,
ja,53,2017-07-14 00:00:00,,,SOLA TS,FRØ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,54,2017-07-14 00:00:00,,,NAVIG8 PRIDE,FRØ,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,55,2017-07-15 00:00:00,,,SMYRNI,BRÆ,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,56,2017-07-15 00:00:00,,,ARCTIC LADY,HUS,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,57,2017-07-15 00:00:00,,,FOUR WIND,BRÆ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,58,2017-07-16 00:00:00,,,SMYRNI,FRØ,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,59,2017-07-16 00:00:00,,,ALICANTE,FRØ,Mongstad,,,1,,,,,,1,,,,,BÅT TIL BÅT,2017,,
ja,60,2017-07-16 00:00:00,,,CLIPPER JUPITER,FRØ,Kårstø,,,1,,,,,1,1,,,,,,2017,,
ja,61,2017-07-16 00:00:00,,,FOUR WIND,FRØ,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,62,2017-07-17 00:00:00,,,ALICANTE,SBR,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,63,2017-07-17 00:00:00,,,CLIPPER JUPITER,FRØ,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,64,2017-07-17 00:00:00,,,ARCTIC LADY,HUS,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,65,2017-07-17 00:00:00,,,SEAQUEEN,MÆL,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,66,2017-07-18 00:00:00,,,SEAQUEEN,MÆL,Mongstad,,,1,,,1,,,,,,,,BÅT TIL BÅT,2017,,
